What's the latest news?,news
World news,news
news articles,news
Today's news,news
What are today's headlines?,news
What's going-on today?,news,calendar
Weather today,weather
What is the current weather?,weather
Is it cold today?,weather
Will it rain tomorrow?,weather
Is it sunny?,weather
Do I need an umbrella today?,weather
is it snowing?,weather
Today's events,calendar
What is the date today?,calendar
What is my calendar like today?,calendar
What's my schedule today?,calendar
What's happening today?,calendar
Am I free today?,calendar
What's on my calendar for today?,calendar
What do I have scheduled for this Saturday?,calendar
What's on my schedule for July 3rd,calendar
what's my next appointment?,calendar
Movies playing today,entertainment
What's on TV tonight,entertainment
Any good shows tomorrow?,entertainment
What time is it?,time
What's the time?,time
What time is it right now?,time

